job_id,num_gpu,submit_time,iterations,model_name,duration,interval
462,1,21477,0,vgg11,4,0
463,1,21483,0,vgg11,6,0
464,1,21492,0,vgg11,5,0
465,1,21498,0,vgg11,3,0
466,1,21505,0,vgg11,5,0
467,1,21512,0,vgg11,5,0
468,1,21518,0,vgg11,14,0
469,1,21539,0,vgg11,3,0
470,1,21543,0,vgg11,5,0
471,1,21549,0,vgg11,8,0
472,1,21558,0,vgg11,5,0
473,1,21564,0,vgg11,3,0
474,1,21568,0,vgg11,9,0
475,1,21578,0,vgg11,4,0
476,1,21583,0,vgg11,10,0
477,1,21596,0,resnet152,5,0
478,1,21603,0,resnet152,4,0
479,1,21608,0,resnet152,6,0
480,1,21615,0,resnet152,16,0
481,1,21633,0,resnet152,7,0
482,1,21647,0,resnet152,4,0
483,1,21652,0,resnet152,3,0
484,1,21656,0,inception3,3,0
485,1,21661,0,vgg11,3,0
486,1,21666,0,resnet101,4,0
487,1,21671,0,resnet101,5,0
488,1,21684,0,resnet101,3,0
489,1,21688,0,resnet101,4,0
490,1,21693,0,resnet101,9,0
491,1,21703,0,resnet101,3,0
492,1,21708,0,resnet101,3,0
493,1,21719,0,resnet101,4,0
494,1,21724,0,resnet101,3,0
495,1,21729,0,resnet101,13,0
496,1,21743,0,resnet101,8,0
497,1,21752,0,resnet101,3,0
498,1,21759,0,resnet101,8,0
499,1,21768,0,resnet101,3,0
500,1,21772,0,resnet101,10,0
501,1,21783,0,resnet101,3,0
502,1,21787,0,resnet101,3,0
503,1,21792,0,resnet101,3,0
504,1,21796,0,resnet101,5,0
505,1,21802,0,resnet101,3,0
506,1,21809,0,resnet101,4,0
507,1,21823,0,resnet101,3,0
508,1,21827,0,resnet101,11,0
509,1,21843,0,resnet101,4,0
510,1,21848,0,resnet101,3,0
511,1,21852,0,resnet50,3,0
512,1,21857,0,resnet50,3,0
513,1,21861,0,resnet50,8,0
514,1,21870,0,resnet50,3,0
515,1,21874,0,resnet50,4,0
516,1,21879,0,resnet50,3,0
517,1,21883,0,resnet50,3,0
518,1,21887,0,resnet50,4,0
519,1,21893,0,resnet50,8,0
520,1,21902,0,resnet50,4,0
521,1,21907,0,resnet50,6,0
522,1,21914,0,resnet50,3,0
523,1,21919,0,resnet50,3,0
524,1,21923,0,resnet152,6,0
525,1,21930,0,resnet152,11,0
526,1,21942,0,resnet152,4,0
527,1,21947,0,vgg19,3,0
528,1,21954,0,vgg19,3,0
529,1,21959,0,vgg19,10,0
530,1,21970,0,inception3,4,0
531,1,21975,0,inception3,3,0
532,1,21979,0,inception3,8,0
533,1,21991,0,inception3,3,0
534,1,21996,0,inception3,10,0
535,1,22007,0,inception3,3,0
536,1,22012,0,inception3,3,0
537,1,22016,0,inception3,3,0
538,1,22021,0,inception3,3,0
539,1,22025,0,inception3,3,0
540,1,22029,0,inception3,5,0
541,1,22044,0,inception3,8,0
542,1,22053,0,inception3,3,0
543,1,22057,0,resnet50,5,0
544,1,22063,0,resnet50,8,0
545,1,22072,0,resnet50,4,0
546,1,22077,0,resnet50,3,0
547,1,22082,0,resnet50,4,0
548,1,22087,0,resnet50,3,0
549,1,22091,0,resnet50,8,0
550,1,22100,0,resnet50,4,0
551,1,22105,0,resnet50,3,0
552,1,22109,0,resnet50,11,0
553,1,22121,0,alexnet,3,0
554,1,22125,0,alexnet,6,0
555,1,22133,0,alexnet,8,0
556,1,22143,0,vgg11,3,0
557,1,22148,0,vgg11,7,0
558,1,22156,0,vgg11,4,0
559,1,22161,0,vgg11,3,0
560,1,22165,0,vgg11,4,0
561,1,22170,0,vgg11,4,0
562,1,22175,0,vgg11,7,0
563,1,22183,0,vgg11,3,0
564,1,22187,0,vgg11,4,0
565,1,22193,0,vgg11,12,0
566,1,22206,0,vgg11,4,0
567,1,22213,0,vgg11,7,0
568,1,22221,0,vgg11,8,0
569,1,22230,0,vgg11,3,0
570,1,22235,0,vgg11,3,0
571,1,22239,0,vgg11,12,0
572,1,22252,0,vgg11,5,0
573,1,22258,0,vgg11,3,0
574,1,22263,0,vgg11,7,0
575,1,22271,0,vgg11,4,0
576,1,22276,0,vgg11,8,0
577,1,22289,0,vgg11,3,0
578,1,22294,0,vgg11,3,0
579,1,22298,0,vgg11,9,0
580,1,22308,0,vgg11,4,0
581,1,22313,0,vgg11,3,0
582,1,22319,0,vgg11,3,0
583,1,22327,0,resnet50,3,0
584,1,22332,0,resnet50,4,0
585,1,22338,0,resnet50,7,0
586,1,22347,0,resnet50,3,0
587,1,22351,0,vgg16,8,0
588,1,22360,0,vgg16,3,0
589,1,22364,0,vgg16,7,0
590,1,22372,0,vgg16,3,0
591,1,22378,0,resnet101,6,0
592,1,22385,0,resnet101,3,0
593,1,22389,0,resnet101,4,0
594,1,22394,0,resnet101,3,0
595,1,22398,0,resnet101,4,0
596,1,22403,0,resnet101,4,0
597,1,22409,0,resnet101,3,0
598,1,22414,0,resnet101,3,0
599,1,22419,0,resnet101,3,0
600,1,22423,0,resnet101,8,0
601,1,22432,0,resnet101,6,0
602,1,22440,0,vgg11,3,0
603,1,22448,0,vgg11,4,0
604,1,22453,0,vgg11,3,0
605,1,22457,0,vgg11,4,0
606,1,22463,0,vgg11,3,0
607,1,22468,0,vgg11,3,0
608,1,22472,0,vgg11,3,0
609,1,22477,0,vgg11,3,0
610,1,22481,0,vgg11,3,0
611,1,22485,0,vgg11,4,0
612,1,22490,0,vgg16,3,0
613,1,22494,0,vgg16,3,0
614,1,22499,0,vgg16,7,0
615,1,22508,0,vgg16,3,0
616,1,22515,0,vgg16,12,0
617,1,22531,0,vgg16,3,0
618,1,22536,0,vgg16,7,0
619,1,22547,0,vgg16,4,0
620,1,22552,0,vgg16,3,0
621,1,22556,0,vgg16,4,0
622,1,22561,0,vgg16,3,0
623,1,22565,0,vgg16,3,0
624,1,22572,0,vgg16,4,0
625,1,22577,0,inception3,3,0
626,1,22581,0,inception3,4,0
627,1,22586,0,inception3,3,0
628,1,22593,0,inception3,4,0
629,1,22598,0,inception3,6,0
630,1,22609,0,inception3,8,0
